route_number,latitude,longitude
1,33.7726136,-84.3853395
1,33.7900632,-84.385552
1,33.7525477,-84.3901514
1,33.7879265,-84.3721682
1,33.757217,-84.3985522
1,33.8404395,-84.3875917
1,33.7481313,-84.3594372
2,33.8404395,-84.3875917
2,33.7739247,-84.3279985
2,33.7529948,-84.3636479
2,33.7481313,-84.3594372
2,33.7525477,-84.3901514
2,33.757217,-84.3985522
2,33.7822601,-84.3828964
3,33.7822601,-84.3828964
3,33.7625707,-84.3917327
3,33.7566739,-84.3731798
3,33.7900632,-84.385552
3,33.7564659,-84.3879166
4,33.7726136,-84.3853395
4,33.7525477,-84.3901514
4,33.7899568,-84.3725988
4,33.763382,-84.3951098
4,33.7625707,-84.3917327
4,33.7879265,-84.3721682
5,33.7739247,-84.3279985
5,33.7625707,-84.3917327
5,33.7822601,-84.3828964
5,33.7525477,-84.3901514
5,33.757217,-84.3985522
5,33.8418797,-84.3862534
